date,djia
2011-03-23,114.19185257691828
2011-03-24,114.99060843011502
2011-03-25,115.46330484998056
2011-03-28,115.24873487806076
2011-03-29,116.01527216656149
2011-03-30,116.6917675425833
2011-03-31,116.4000052910253
2011-04-01,116.9384615966047
2011-04-04,117.15870052418943
2011-04-05,117.10078269381216
2011-04-06,117.41115801647022
2011-04-07,117.24808105850741
2011-04-08,116.96992430054537
2011-04-11,116.9799394555535
2011-04-12,115.86948552337692
2011-04-13,115.93949712583948
2011-04-14,116.0732844795332
2011-04-15,116.60881182468569
2011-04-18,115.28378792058928
2011-04-19,115.89943650580692
2011-04-20,117.6642768869119
2011-04-21,118.15983809462622
2011-04-25,117.91314404060483
2011-04-26,119.00432352352051
2011-04-27,119.9074826435474
2011-04-28,120.59106421415045
2011-04-29,121.0373055075794
2011-05-02,121.00726004255499
2011-05-03,121.00867728147121
2011-05-04,120.21568486653388
2011-05-05,118.89850301777409
2011-05-06,119.41409453550466
2011-05-09,119.84814757425389
2011-05-10,120.56319184879764
2011-05-11,119.33180019576794
2011-05-12,119.95434601037798
2011-05-13,119.00791386210834
2011-05-16,118.56025532976318
2011-05-17,117.91030956277235
2011-05-18,118.671839273769
2011-05-19,119.09833370496487
2011-05-20,118.21700006424818
2011-05-23,116.98135669446975
2011-05-24,116.74467779545652
2011-05-25,117.10796337098782
2011-05-26,117.18449427246513
2011-05-27,117.55127570398982
2011-05-31,118.76263704700321
2011-06-01,116.120431294147
2011-06-02,115.72747818396894
2011-06-03,114.80825702289124
2011-06-06,114.22907871911836
2011-06-07,114.04814455081085
2011-06-08,113.84151111682208
2011-06-09,114.55409884391099
2011-06-10,112.9247465031992
2011-06-13,112.93476165820732
2011-06-14,114.0982203258516
2011-06-15,112.40849360730766
2011-06-16,113.01554427643343
2011-06-17,113.42030771091352
2011-06-20,114.13856439366741
2011-06-21,115.174377076255
2011-06-22,114.4153039127132
2011-06-23,113.8515262718302
2011-06-24,112.76100816707546
2011-06-27,113.79067948102602
2011-06-28,115.16190537379204
2011-06-29,115.84907728298296
2011-06-30,117.29390511679941
2011-07-01,118.88527545455578
2011-07-05,118.76339290775854
2011-07-06,119.29391267540693
2011-07-07,120.17704148541756
2011-07-08,119.58850940479746
2011-07-11,118.15766499495464
2011-07-12,117.60135147903051
2011-07-13,118.02397212385536
2011-07-14,117.50913646688008
2011-07-15,117.9117268016886
2011-07-18,117.0182049062922
2011-07-19,118.92920986095943
2011-07-20,118.7826673570195
2011-07-21,120.22352692187046
2011-07-22,119.81488970101928
2011-07-25,118.98004149675549
2011-07-26,118.11552575784486
2011-07-27,116.23768419381781
2011-07-28,115.64773487428148
2011-07-29,114.73248198216923
2011-08-01,114.63091319317157
2011-08-02,112.11890445542124
2011-08-03,112.40065155197114
2011-08-04,107.55596204067288
2011-08-05,108.13164448845235
2011-08-08,102.13426732527336
2011-08-09,106.19626302442566
2011-08-10,101.28477431887501
2011-08-11,105.28488391868451
2011-08-12,106.4726246130938
2011-08-15,108.49341834247295
2011-08-16,107.76618581324949
2011-08-17,107.80662436365972
2011-08-18,103.84185125416195
2011-08-19,102.2079637489182
2011-08-22,102.55754934825909
2011-08-23,105.60092819700756
2011-08-24,106.96100514363243
2011-08-25,105.34639208764963
2011-08-26,106.61926159962812
2011-08-29,109.0258277620097
2011-08-30,109.22140673245177
2011-08-31,109.72764447333515
2011-09-01,108.59423127071531
2011-09-02,106.20089267155205
2011-09-06,105.24699639832352
2011-09-07,107.8505587700634
2011-09-08,106.72574348353548
2011-09-09,103.85649605629652
2011-09-12,104.50833147517568
2011-09-13,104.93095212000048
2011-09-14,106.2620229101395
2011-09-15,108.02365088303435
2011-09-16,108.74086825724967
2011-09-19,107.7197003767966
2011-09-20,107.7919795615252
2011-09-21,105.11037456679729
2011-09-22,101.41601064251944
2011-09-23,101.7717376104974
2011-09-26,104.34525451721287
2011-09-27,105.73254245102969
2011-09-28,104.0338398860162
2011-09-29,105.38569684692686
2011-09-30,103.11244562526691
2011-10-03,100.674038828567
2011-10-04,102.12349630950985
2011-10-05,103.36348587863144
2011-10-06,105.09610769504043
2011-10-07,104.90515837172478
2011-10-10,108.02365088303435
2011-10-11,107.86416426365936
2011-10-12,108.83308326940012
2011-10-13,108.4483501449363
2011-10-14,110.02016258564848
2011-10-17,107.68181285643558
2011-10-18,109.3829719689039
2011-10-19,108.69863453754552
2011-10-20,109.04973185839704
2011-10-21,111.57251161191088
2011-10-24,112.5629726491786
2011-10-25,110.60718294475794
2011-10-26,112.14176924327002
2011-10-27,115.34954780630314
2011-10-28,115.56270053930666
2011-10-31,112.9540361074683
2011-11-01,110.14743064032743
2011-11-02,111.82997668169571
2011-11-03,113.7992773971179
2011-11-04,113.22076047150594
2011-11-07,114.02527976296206
2011-11-08,114.98701809152719
2011-11-09,111.30937758646105
2011-11-10,112.37561366445075
2011-11-11,114.83112181074006
2011-11-14,114.12533683044909
2011-11-15,114.28765792765657
2011-11-16,112.48710312586216
2011-11-17,111.21291085756182
2011-11-18,111.45318009516286
2011-11-21,109.10198073310934
2011-11-22,108.59564850963154
2011-11-23,106.36425307729813
2011-11-25,106.12077143148692
2011-11-28,108.87238802867736
2011-11-29,109.18059025166384
2011-11-30,113.81070979104231
2011-12-01,113.5683619363641
2011-12-02,113.56259849810469
2011-12-05,114.30343652092412
2011-12-06,114.7975804897222
2011-12-07,115.2344680063039
2011-12-08,113.35738230303215
2011-12-09,115.12004958446556
2011-12-12,113.58121156920471
2011-12-13,112.95337472930737
2011-12-14,111.71130654310863
2011-12-15,112.13959614359842
2011-12-16,112.11673135574965
2011-12-19,111.17067713785768
2011-12-20,114.35776401271356
2011-12-21,114.39706877199085
2011-12-22,114.98201051402309
2011-12-23,116.15690157559177
2011-12-27,116.1318636880714
2011-12-28,114.8096742618075
2011-12-29,116.09114168987792
2011-12-30,115.43467662387236
2012-01-03,117.13366263666909
2012-01-04,117.33245401532129
2012-01-05,117.30675474964005
2012-01-06,116.77973083798504
2012-01-09,117.08935029988777
2012-01-10,117.7486498437258
2012-01-11,117.62563350579558
2012-01-12,117.82943246195187
2012-01-13,117.36684567968891
2012-01-17,117.93383572878204
2012-01-18,118.8491831034887
2012-01-19,119.274638226146
2012-01-20,120.18639526226481
2012-01-23,120.0762285571752
2012-01-24,119.76377461743999
2012-01-25,120.53106776669605
2012-01-26,120.32008813336408
2012-01-27,119.6193107305772
2012-01-30,119.55562946194051
2012-01-31,119.35901118295988
2012-02-01,120.14841325930936
2012-02-02,120.0440099924792
2012-02-03,121.52568603811808
2012-02-06,121.36412080166592
2012-02-07,121.67657474140115
2012-02-08,121.73090223319059
2012-02-09,121.79241040215572
2012-02-10,120.9493422121777
2012-02-13,121.63726998212393
2012-02-14,121.67733060215649
2012-02-15,120.7577315107011
2012-02-16,121.92109569575094
2012-02-17,122.35373149558392
2012-02-21,122.50320295995073
2012-02-22,122.24791098983745
2012-02-23,122.682719889342
2012-02-24,122.66627991791356
2012-02-27,122.65267442431757
2012-02-28,122.87574782973482
2012-02-29,122.37451766635552
2012-03-01,122.64124203039316
2012-03-02,122.61544828211748
2012-03-05,122.47599197275879
2012-03-06,120.55175945487322
2012-03-07,121.29042437802109
2012-03-08,121.95756597719569
2012-03-09,122.09059747013409
2012-03-12,122.44670236848968
2012-03-13,124.50613947898519
2012-03-14,124.66127989901699
2012-03-15,125.21551479786396
2012-03-16,125.0252268527092
2012-03-19,125.08673502167431
2012-03-20,124.43537201576729
2012-03-21,124.0048148330115
2012-03-22,123.26331543203109
2012-03-23,123.59013072611765
2012-03-26,125.11035567027841
2012-03-27,124.69557708079016
